North Korea     2.44 ± 0.23 Asia
Northern Mariana Islands    1.24 ± 0.33
Norway  3.15 ± 0.37 Europe
Oman    2.96 ± 0.52 Asia
Pakistan    2.72 ± 0.28 Asia
Palau   0.91 ± 0.27
Palestina   1.71 ± 0.30
Palmyra Atoll   1.72 ± 0.84
Panama  1.52 ± 0.32 North America
Papua New Guinea    1.24 ± 0.27 Oceania
Paraguay    1.18 ± 0.49 South America
Peru    0.95 ± 0.34 South America
Philippines     0.97 ± 0.27 Asia
Poland  2.79 ± 0.23 Europe
Portugal    2.32 ± 0.27 Europe
Puerto Rico     1.84 ± 0.32 North America
Qatar   3.30 ± 0.49 Asia
Reunion     2.00 ± 0.27 Africa
Romania     2.18 ± 0.19 Europe
Russia  3.39 ± 0.28 Asia
Rwanda  1.87 ± 0.23 Africa
Saint Barthélemy    1.91 ± 0.31
Saint Kitts and Nevis   1.83 ± 0.27
Saint Lucia     1.66 ± 0.30
Saint Martin    1.91 ± 0.31
Saint Pierre and Miquelon   2.35 ± 0.43 South America
Saint Vincent and the Grenadines    1.65 ± 0.30
Samoa   1.41 ± 0.55 Oceania
San Marino  2.86 ± 0.30 Europe
Sao Tome and Principe   1.54 ± 0.40
Saudi Arabia    2.58 ± 0.50 Asia
Senegal     1.87 ± 0.34 Africa
Serbia  2.27 ± 0.27 Europe
Seychelles  1.80 ± 0.46
Sierra Leone    1.82 ± 0.28 Africa
Singapore   1.45 ± 0.22 Asia
Sint Maarten    1.91 ± 0.31
Slovakia    2.51 ± 0.25 Europe
Slovenia    3.07 ± 0.28 Europe
Solomon Islands     1.62 ± 0.50 Oceania
Somalia     2.14 ± 0.50 Africa
South Africa    1.23 ± 0.37 Africa
South Georgia and the South Sandwich Isla   1.85 ± 0.76
South Korea     2.00 ± 0.21 Asia
Spain   2.57 ± 0.24 Europe
Sri Lanka   1.37 ± 0.28 Asia
Sudan   2.04 ± 0.22 Africa
Suriname    1.75 ± 0.22 South America
Svalbard and Jan Mayen  5.45 ± 0.81 Europe
Swaziland   1.43 ± 0.31 Africa
Sweden  2.95 ± 0.27 Europe
Switzerland     2.83 ± 0.23 Europe
Syria   1.95 ± 0.19 Asia
Taiwan  1.46 ± 0.28 Asia
Tajikistan  2.66 ± 0.28 Asia
Tanzania    1.98 ± 0.27 Africa
Thailand    1.07 ± 0.24 Asia
Timor-Leste     0.90 ± 0.41 Asia
Togo    1.75 ± 0.46 Africa
Tonga   1.34 ± 0.43
Trinidad and Tobago     1.60 ± 0.37 South America
Tunisia     3.12 ± 0.31 Africa
Turkey  1.60 ± 0.22 Asia
Turkmenistan    3.19 ± 0.26 Asia
Turks and Caicas Islands    1.50 ± 0.39
Uganda  1.78 ± 0.17 Africa
Ukraine     2.66 ± 0.21 Europe
United Arab Emirates    3.36 ± 0.57 Asia
United Kingdom  2.30 ± 0.26 Europe
United Kingdom (Europe)     2.35 ± 0.26 Europe
United States   2.36 ± 0.13 North America
Uruguay     1.56 ± 0.45 South America
Uzbekistan  2.72 ± 0.29 Asia
Venezuela   1.33 ± 0.31 South America
Vietnam     0.91 ± 0.27 Asia
Virgin Islands  1.88 ± 0.30
Western Sahara  2.49 ± 0.69 Africa
Yemen   2.50 ± 0.55 Asia
Zambia  1.77 ± 0.27 Africa
Zimbabwe    1.50 ± 0.22 Africa
